Quarter,Time,Tm,Detail,CIN,KAN
1.0,10:41,Bengals,Evan McPherson 22 yard field goal,3,0
,2:11,Chiefs,Harrison Butker 19 yard field goal,3,3
2.0,12:04,Bengals,Andrei Iosivas 4 yard pass from Joe Burrow (Evan McPherson kick),10,3
,8:50,Chiefs,Rashee Rice 44 yard pass from Patrick Mahomes (Harrison Butker kick),10,10
,4:19,Bengals,Evan McPherson 33 yard field goal,13,10
,1:33,Bengals,Evan McPherson 48 yard field goal,16,10
3.0,8:21,Chiefs,Wanya Morris 1 yard pass from Patrick Mahomes (Harrison Butker kick),16,17
,2:16,Bengals,Andrei Iosivas 3 yard pass from Joe Burrow (Evan McPherson kick failed),22,17
4.0,14:40,Chiefs,Chamarri Conner 38 yard fumble return (pass failed),22,23
,9:28,Bengals,Evan McPherson 53 yard field goal,25,23
,0:00,Chiefs,Harrison Butker 51 yard field goal,25,26
