Quarter,Time,Tm,Detail,PIT,IND
1.0,12:01,Colts,Jonathan Taylor 2 yard rush (Matt Gay kick),0,7
,2:34,Colts,Josh Downs 4 yard pass from Joe Flacco (Matt Gay kick),0,14
2.0,12:31,Colts,Matt Gay 33 yard field goal,0,17
,0:00,Steelers,Chris Boswell 50 yard field goal,3,17
3.0,2:53,Steelers,Justin Fields 5 yard rush (Chris Boswell kick),10,17
4.0,14:43,Colts,Andrew Ogletree 15 yard pass from Joe Flacco (Matt Gay kick),10,24
,11:23,Steelers,Justin Fields 2 yard rush (Chris Boswell kick),17,24
,6:03,Colts,Matt Gay 35 yard field goal,17,27
,3:40,Steelers,Pat Freiermuth 8 yard pass from Justin Fields (Chris Boswell kick),24,27
