Quarter,Time,Tm,Detail,NWE,SFO
1.0,2:26,49ers,Jake Moody 22 yard field goal,0,3
,0:06,49ers,Jake Moody 26 yard field goal,0,6
2.0,14:01,49ers,Fred Warner 45 yard interception return (Jake Moody kick),0,13
,3:11,49ers,George Kittle 12 yard pass from Brock Purdy (Jake Moody kick),0,20
,0:00,Patriots,Joey Slye 63 yard field goal,3,20
3.0,12:05,Patriots,Austin Hooper 5 yard pass from Jacoby Brissett (Joey Slye kick),10,20
,10:08,49ers,Jordan Mason 4 yard rush (Jake Moody kick),10,27
4.0,13:26,Patriots,Joey Slye 54 yard field goal,13,27
,4:58,49ers,Jake Moody 41 yard field goal,13,30
