Quarter,Time,Tm,Detail,NYG,PIT
1.0,10:19,Steelers,Chris Boswell 31 yard field goal,0,3
,5:19,Giants,Greg Joseph 29 yard field goal,3,3
,3:05,Steelers,Chris Boswell 25 yard field goal,3,6
2.0,12:39,Giants,Greg Joseph 39 yard field goal,6,6
,8:12,Steelers,Chris Boswell 27 yard field goal,6,9
,0:21,Giants,Greg Joseph 44 yard field goal,9,9
3.0,4:38,Steelers,Calvin Austin III 73 yard punt return (Chris Boswell kick),9,16
4.0,13:16,Steelers,Calvin Austin III 29 yard pass from Russell Wilson (Chris Boswell kick),9,23
,11:07,Giants,Tyrone Tracy Jr. 45 yard rush (pass failed),15,23
,7:15,Steelers,Chris Boswell 27 yard field goal,15,26
,5:06,Giants,Greg Joseph 48 yard field goal,18,26
