Quarter,Time,Tm,Detail,NOR,CAR
1.0,10:51,Saints,Blake Grupe 29 yard field goal,3,0
,3:08,Saints,Blake Grupe 33 yard field goal,6,0
2.0,9:59,Panthers,Xavier Legette 3 yard pass from Bryce Young (Eddy Pi̱eiro kick),6,7
,4:13,Saints,Taysom Hill 7 yard rush (Blake Grupe kick),13,7
,0:38,Panthers,Eddy Pi̱eiro 48 yard field goal,13,10
3.0,9:55,Panthers,Chuba Hubbard 1 yard rush (Eddy Pi̱eiro kick),13,17
,4:15,Saints,Blake Grupe 51 yard field goal,16,17
4.0,11:55,Saints,Foster Moreau 17 yard pass from Derek Carr (pass failed),22,17
,2:18,Panthers,Chuba Hubbard 16 yard rush (pass failed),22,23
