Quarter,Time,Tm,Detail,SFO,TAM
1.0,4:15,49ers,Ricky Pearsall 46 yard pass from Brock Purdy (Jake Moody kick),7,0
2.0,8:53,49ers,Jake Moody 28 yard field goal,10,0
,1:14,Buccaneers,Chase McLaughlin 30 yard field goal,10,3
3.0,11:58,Buccaneers,Rachaad White 9 yard pass from Baker Mayfield (Chase McLaughlin kick),10,10
,4:21,49ers,Jake Moody 33 yard field goal,13,10
4.0,14:18,Buccaneers,Bucky Irving 12 yard rush (Chase McLaughlin kick),13,17
,7:02,49ers,George Kittle 11 yard pass from Brock Purdy (Jake Moody kick),20,17
,0:41,Buccaneers,Chase McLaughlin 26 yard field goal,20,20
,0:00,49ers,Jake Moody 44 yard field goal,23,20
