Quarter,Time,Tm,Detail,LAC,LVR
1.0,2:46,Raiders,Daniel Carlson 40 yard field goal,0,3
,0:11,Chargers,Cameron Dicker 33 yard field goal,3,3
2.0,13:04,Raiders,Jakobi Meyers 25 yard pass from Aidan O'Connell (Daniel Carlson kick),3,10
,5:28,Chargers,Cameron Dicker 32 yard field goal,6,10
,1:05,Chargers,Cameron Dicker 49 yard field goal,9,10
,0:10,Chargers,DJ Chark 6 yard pass from Justin Herbert (Ladd McConkey pass from Justin Herbert),17,10
3.0,7:10,Chargers,Cameron Dicker 20 yard field goal,20,10
,2:15,Raiders,Daniel Carlson 47 yard field goal,20,13
4.0,13:32,Chargers,Will Dissly 2 yard pass from Justin Herbert (Cameron Dicker kick),27,13
,3:38,Chargers,Hassan Haskins 2 yard rush (Cameron Dicker kick),34,13
,0:25,Raiders,Brock Bowers 12 yard pass from Aidan O'Connell (Daniel Carlson kick),34,20
